id,restaurant_name,location,catergory_id,img,description
89,또또치킨호프,법대후문,7,./img/89.jpg,"""술 좋아하는 사장님이 운영하는 믿을 수 있는 치킨 집 :)"""
90,또래끼리 고대점,개운사/정후,0,./img/90.jpg,안녕하세요. 또래끼리 고대점 입니다.
91,뚜레쥬르 종암점,법대후문,4,./img/91.jpg,
92,뚝닭,정문,"0,7",./img/92.jpg,"""고려대 밥약의 성지, 뚝닭이 매장이전을 준비 중 입니다.2024년 1월 새로운 매장에서 뵙겠습니다."""
93,뜨락,참살이/옆살이,3,./img/93.jpg,30년 주방경력을 바탕으로 한 퓨전요리주점
94,라떼킹 안암오거리점,안암오거리,4,./img/94.jpg,안녕하세요. 라떼킹 안암점입니다
95,라비다 바,참살이/옆살이,3,./img/95.jpg,옆살이에 위치한 Bar
96,레드컵스떡볶이&컵닭,참살이/옆살이,8,./img/96.jpg,가성비가 좋은 것으로 인기 있는 분식집입니다. 
97,레디컬브루잉클럽,정문,4,./img/97.jpg,"""고려대 정문 골목 작은 카페입니다. 각자의 취향에 맞는 커피를 즐길 수 있는 공간입니다."""
98,류,정문,0,./img/98.jpg,"""고려대학교 정문, 고려대역 6번 출구 근처에 위치한한식 집밥 및 주류 판매 식당 '밥이랑 고기랑'입니다:) 건강하고 맛있는 집밥과 고기, 그리고 다양한 술 안주와 주류를 제공해 드리고 있습니다. 숨겨진 맛집으로 고려대학생들 사이에서 소문 난 '안암 맛집'입니다. 항상 건강하고 맛있는 음식을 제공해 드리겠습니다."""
99,마드리짬뽕,안암오거리,1,./img/99.jpg,아침마다 직접 장봐서 신선하고 깨끗하게 준비하고 있어요. 찾아주시면 맛있는 한끼 드시고 가실수 있도록 항상 노력하겠습니다~!
100,마르니,개운사/정후,3,./img/100.jpg,
101,마시그래이,참살이/옆살이,4,./img/101.jpg,이공대 정문 카페
102,마이버터드림,고대병원,4,./img/102.jpg,케이크 클래스를 운영 중입니다.
103,마카나이,참살이/옆살이,10,./img/103.jpg,매운돈코츠 라멘 / 차슈 덮밥 / 일본카레가 맛있는 마카나이!
104,막걸리집,참살이/옆살이,3,./img/104.jpg,"파전, 막걸리 전문점"
105,막걸리찬가,참살이/옆살이,3,./img/105.jpg,푸짐하고 맛있는 안주가 가득한 전주식 막걸리집!
106,만리향 안암동2가,고대병원,1,./img/106.jpg,"세트메뉴 식사 변경 가능 2그릇이상 주문시 카드결제가능 (주문시 꼭 미리 말씀해주세요) 쿠폰제실시,꿈나무카드가맹점"
107,만복식당,개운사/정후,"0,9",./img/107.jpg,만복식당은 맛과 건강을 위해 친환경 삼겹살을 제공해드리고있습니다.
108,맘스터치 고대타이거프라자점,개운사/정후,12,./img/108.jpg,
109,맛식당연어랑,법대후문,10,./img/109.jpg,"""숭례초 정문앞 10미터"""
110,맥도날드 안암점,참살이/옆살이,12,./img/110.jpg,맥도날드 안암점 (24시간)
111,메가MGC커피 고대점,개운사/정후,4,./img/111.jpg,
112,메가MGC커피 고대정문점,정문,4,./img/112.jpg,
113,메이븐커피,법대후문,4,./img/113.jpg,"""안녕하세요 종암동에위치한 메이븐 커피입니다"""
114,메이크미해피,참살이/옆살이,4,./img/114.jpg,직접 굽는 시트와 동물성 크림을 사용합니다
115,멘부리 고대본점,고대사거리,10,./img/115.jpg,안녕하세요. 멘부리 고대본점 입니다.
116,모이리타,참살이/옆살이,2,./img/116.jpg,양식 파스타
117,모퉁이,참살이/옆살이,0,./img/117.jpg,"항정살덮밥, 큐브스테이크덮밥, 치킨마요덮밥, 안동찜닭덮밥 등 다양한 덮밥"
118,몬스터포 성북점,고대병원,5,./img/118.jpg,베트남쌀국수 몬스터Pho 성북점. 감동드리는 몬스터. 몬스터포성북점입니다.
119,묘한객잔,참살이/옆살이,3,./img/119.jpg,안암 중국식 퓨전 술집
120,무등산참숯갈비,개운사/정후,9,./img/120.jpg,1.16년 전통의 갈비집! 2. 최고급 한우와 정갈한 음식! 3. 숯불에 구운 진짜 고기맛집!
121,무르무르드구스토,참살이/옆살이,2,./img/121.jpg,올해로 오픈 10주년을 맞은 내공있는 성북구 대표 양식당 입니다
122,무아국수집,법대후문,0,./img/122.jpg,
123,무화,정문,10,./img/123.jpg,"""삿포로식 생양갈비-프렌치랙.숄더랙, 양특수부위 . 일본 가정식"""
124,묵치빠,고대사거리,0,./img/124.jpg,모든 재료는 국내산을 사용하고 있습니다.
125,미가박당,참살이/옆살이,0,./img/125.jpg,파전/칼국수 전문점
126,미뇽 브런치,고대사거리,2,./img/126.jpg,미뇽은 편안한 분위기와 정성가득한 음식을 제공하는 로컬식당이 되기 위해 항상 노력하고 있습니다.
127,미분당 고대안암점,참살이/옆살이,5,./img/127.jpg,베트남 쌀국수 전문점 '미분당(米粉堂)' 고대안암점 입니다.
128,미스터국밥,참살이/옆살이,0,./img/128.jpg,한식 국밥
129,미스터왕시즌2,안암오거리,1,./img/129.jpg,다양한 중식 코스 요리를 판매하는 중식당입니다. 
130,미식본좌,정문,0,./img/130.jpg,"""SBS 백종원의 골목식당 194~198회 출연. 토마토치즈고기덮밥, 따그면, 크래미유부초밥이 소개된 바로 그 집!"""
131,미쳐버린파닭 고대점,안암오거리,7,./img/131.jpg,"영업시간: 11:00 에서 03:00 까지. 배달최소금액: 13,000원"
132,밀플랜비 고려대점,개운사/정후,12,./img/132.jpg,"저렴한 비용으로 한 끼를 배불리 채워야 할 때! 햄버거,치킨,피자는 질릴 때! 아침,점심,저녁,야식으로 입이 궁금할 때!"
133,바:라라 라디오,참살이/옆살이,3,./img/133.jpg,전통주를 메인으로 안주를 하지 않는 클래식 바입니다.
134,바다가내손아귀 안암점,고대병원,0,./img/134.jpg,찜요리 점문점입니다.
135,박가네뼈다귀해장국,안암오거리,0,./img/135.jpg,FM으로 인사드립니다! 안녕! 안녕! 안녕하십니까!! 친절~맛집! 20년~전통! 뼈다귀~전문! 안암 오거리에서 해장을 맡고있는! 박! 가! 뼈! 다! 귀! 입니다!
136,박군포차,참살이/옆살이,3,./img/136.jpg,안암역3번출구에서 우칙 일방통행길로 내려오시면 됩니다
137,반미362 고대안암점,개운사/정후,5,./img/137.jpg,안녕하세요 반미362 고대안암점 입니다~
138,반이학생 마라탕마라반,참살이/옆살이,1,./img/138.jpg,참살이 마라탕
139,밥이랑고기랑,정문,0,./img/139.jpg,
140,백미향마라탕 고대점,정문,1,./img/140.jpg,"""성신여대 본점 인기에 힘입어 고대점을 오픈하게 되었습니다.중국 현지 맛, 그 이상의 맛을 느낄 수 있는 고려대 마라탕, 마라샹궈 맛집입니다. 매운맛 정도를 선택할 수 있으며, 신선한 재료를 취향대로 골라서 드실 수 있는 고객을 위한 맞춤형 마라탕을 맛볼 수 있습니다"""
141,백소정 안암본점,개운사/정후,"10,11",./img/141.jpg,"백번을 먹어도 정성스럽고 푸짐한 음식에 즐겁게 머물다 갈 수 있는 곳, 백소정 안암본점입니다."
142,백호카츠,개운사/정후,11,./img/142.jpg,최상급의 도드람 한돈을 사용하고 기호에 따라 골라 먹을 수 있는 수제돈까스 전문점입니다.
143,버거킹 안암오거리점,안암오거리,12,./img/143.jpg,혼밥하기 좋은 것으로 인기 있는 햄버거 전문점입니다. 
144,버블티킹고대점,참살이/옆살이,4,./img/144.jpg,대만정통방식의 버블티 전문점
145,베나레스 본점,참살이/옆살이,5,./img/145.jpg,인도 전통음식 전문점 베나레스 입니다.
146,병천순대,참살이/옆살이,0,./img/146.jpg,"고려대 근처 참살이길, 안암 오거리 근처에 위치한 30년 전통 한방 토종순대입니다."
147,보리밥바지락칼국수,법대후문,0,./img/147.jpg,
148,본도시락 고려대점,안암오거리,0,./img/148.jpg,안녕하세요. 본도시락 고려대점입니다.
149,본샤브칼국수,참살이/옆살이,0,./img/149.jpg,참살이 칼국수 전문점
150,본우리반상 고대안암병원점,고대병원,0,./img/150.jpg,본우리반상은 팔도지역의 우리 음식을 전통 반상에 담아 편안하게 서로의 이야기를 나눌 수 있는 공간을 제공하는 우리나라 대표 한식 브랜드입니다.
151,본죽&비빔밥cafe,참살이/옆살이,0,./img/151.jpg,본죽 고려대점입니다.
152,봉구가래떡볶이 고대점,참살이/옆살이,8,./img/152.jpg,안녕하세요 봉구가래떡볶이 고대점입니다.
153,봉구스밥버거 고려대점,개운사/정후,0,./img/153.jpg,"봉구스 밥버거에서 가장 큰 규모의 실내를 가지고 있으며, 맛도 또한 일품입니다."
154,봉추찜닭,참살이/옆살이,0,./img/154.jpg,봉추찜닭은 안동찜닭의 원조 브랜드입니다.
155,부부바지락손칼국수,안암오거리,0,./img/155.jpg,가성비가 좋은 것으로 인기 있는 칼국수 전문점입니다. 
156,북경양꼬치,참살이/옆살이,1,./img/156.jpg,참살이 양꼬치전문점
157,비나레스토랑,정문,5,./img/157.jpg,"""다양한 인도 요리와 함께 커리를 맛볼 수 있는 인도커리 전문점입니다. 셰프와 직원까지도 모두 인도 현지인들이라고 하는며 인도에서 직접 공수한 소품들과 인도 노래를 들을 수 있지요."""
158,비양지식당,고대병원,0,./img/158.jpg,부대찌개/김치찌개가 인기 있는 식당입니다. 
159,비에르에프리트,정문,3,./img/159.jpg,
160,비테라스 고대점,참살이/옆살이,3,./img/160.jpg,낮에는 카페 메뉴로 이용가능하며 저녁부터는 펍으로 운영
161,빈올로지,안암오거리,4,./img/161.jpg,콜드브루가 인기 있는 안암오거리 인근 카페입니다.
162,빈트리20025 고대점,개운사/정후,4,./img/162.jpg,안녕하세요. 빈트리20025고대점 입니다.
163,빽다방 안암역점,개운사/정후,4,./img/163.jpg,
164,빽보이피자,참살이/옆살이,6,./img/164.jpg,백종원의 빽보이피자 고대안암점입니다.
165,산시면가,참살이/옆살이,1,./img/165.jpg,"한중식 뷔페 전문점입니다. 12가지 중국 요리, 만터우, 빠오즈, 국 등 요리 제공하고 있습니다."
166,산적,참살이/옆살이,9,./img/166.jpg,안암 가성비 좋은 우삼겹 전문점
167,삼성웰스토리 고려대학교신의학관,고대병원,0,./img/167.jpg,매일 새로운 맛과 건강을 선사하는 활력발상지
168,삼성통닭 본점,참살이/옆살이,7,./img/168.jpg,1980년부터 영업해 온 치킨 전문점입니다. 철판 위에 양념이 지글지글 끓는 상태로 나오는 마늘 치킨과 마늘이 함께 구워져 나오는 전기구이 통닭이 이 집의 인기 메뉴이지요. 
169,삼청당 고대안암점,참살이/옆살이,8,./img/169.jpg,"건강한 분식을 추구하는, 좋은재료만을 고집하여 조리하는 삼청당입니다!"
170,삼통치킨 본점,참살이/옆살이,7,./img/170.jpg,27년 이상 고대인의 명물로 사랑 받으며 성장해온 삼성통닭의 글로벌 체인브랜드 입니다.
171,샌디앤샐리,정문,4,./img/171.jpg,"""신선한 샐러드와 맛있는 샌드위치를 다양한 음료와 함께 하세요."""
172,샐러드박스,참살이/옆살이,4,./img/172.jpg,맛과 영양이 풍부한 샐러드를 주문 즉시 조리하여 제공하는 국내 샐러드 전문 프랜차이
173,서병장대김이병 고대이공대점,안암오거리,0,./img/173.jpg,각종 사리를 넣어 먹는 부대볶음이 인기인 곳입니다. 대표메뉴인 서병장의 부대볶음은 부대찌개 스타일의 햄과 야채를 국물이 거의 없도록 자작하게 볶아서 즐기는 메뉴입니다. 
174,서울식당,정문,0,./img/174.jpg,"""가정식백반 잘하는 고려대앞 식당"""
175,서울쌈냉면,개운사/정후,0,./img/175.jpg,고기가 나오는 가성비 좋은 냉면집
176,석이네 스시초밥집,참살이/옆살이,10,./img/176.jpg,뒷살이길 초밥
177,소담,고대사거리,0,./img/177.jpg,정갈한 혼밥 위주의 한식당 입니다.
178,소문난의정부부대찌개 고대점,정문,0,./img/178.jpg,"""2년차 고대앞 부대찌개 전문점 부부가 운영하는 소문난의정부부대찌개 고대점"""
179,소바공방 더큰도시락 고려대점,개운사/정후,11,./img/179.jpg,대한민국의 중심 고려대학교 내에 소바공방 더큰도시락이 입점했습니다.
180,수저가,참살이/옆살이,1,./img/180.jpg,안암 차돌짬뽕이 맛있는 곳
181,수제한방 고대왕족,정문,0,./img/181.jpg,"""업장내 모든 음식은 족장이 직접!!!! 카라멜 색소가 아닌 순수 한약재만을 원료로 100% 국내산 최고의 수제 족발만을 고집합니다..."""
182,수한사우손두부,법대후문,0,./img/182.jpg,
183,숭례식당,법대후문,0,./img/183.jpg,
184,쉐프의 생 안심탕수육 고대안암점,참살이/옆살이,1,./img/184.jpg,탕수육을 대표 메뉴로 판매하는 배달 전문점입니다.
185,스시진,안암오거리,10,./img/185.jpg,성북구에서 스시가 맛있기로 소문난 곳. 적당한 가격에 질좋고 맛있는 스시를 먹을 수 있다. 특히 비리지 않은 연어스시가 유명하며 매콤한 회덮밥도 별미이다.
186,스타벅스 고대안암병원점,고대병원,4,./img/186.jpg,주차 불가
187,스타벅스 고대점,참살이/옆살이,4,./img/187.jpg,스타벅스 고대점
188,스타벅스 종암DT점,법대후문,4,./img/188.jpg,"""식약처 인증 위생등급 매우우수 음식점"""
189,시그널,참살이/옆살이,3,./img/189.jpg,탈 안암을 꿈꾸는 무근본 다이닝 펍.
190,식구,법대후문,0,./img/190.jpg,
191,신룽푸마라탕 고대점,참살이/옆살이,1,./img/191.jpg,내 맘대로 골라 먹는 재미가 있는 신룽푸 마라탕
192,신의주부대찌개 안암점,안암오거리,0,./img/192.jpg,가성비가 좋은 것으로 인기 있는 부대찌개 전문점입니다. 
193,신의주순대와쭈꾸미 고대안암점,개운사/정후,0,./img/193.jpg,
194,심야식당 호랑이,참살이/옆살이,3,./img/194.jpg,음식이 정말 맛있는 고려대 유망술집 심야식당 호랑이
195,써니사이드커피,개운사/정후,4,./img/195.jpg,크림브륄레 라떼 먹으러갔다가 사이폰커피
196,써브웨이,참살이/옆살이,2,./img/196.jpg,써브웨이 고려대점
197,썬더치킨 고대점,개운사/정후,"6,7",./img/197.jpg,안녕하세요. 썬더치킨 고대점 입니다.
198,아마스빈 고대안암점,개운사/정후,4,./img/198.jpg,
199,아미가,법대후문,0,./img/199.jpg,
200,아임빈,개운사/정후,4,./img/200.jpg,안녕하세요. 아임빈 안암점 입니다. 자주 이용해주세요.
201,아침바다,법대후문,0,./img/201.jpg,
202,안돈48,참살이/옆살이,11,./img/202.jpg,트러플 오일과 소금을 곁들인 현대식 일식 수제돈카츠 전문점 안돈48입니다
203,안암 진 육개장&닭개장,안암오거리,0,./img/203.jpg,안암오거리 인근 육개장 전문점입니다. 
204,안암고깃집공간,참살이/옆살이,9,./img/204.jpg,"최상급 숙성 ++A한우, +A한돈 전문점입니다."
205,안암꼬치,참살이/옆살이,3,./img/205.jpg,레몬 소주가 맛있는 닭구이/꼬치 전문점
206,안암동닭한마리칼국수,안암오거리,0,./img/206.jpg,친절한 것으로 인기 있는 닭칼국수 전문점입니다. 
207,안암아줌마치킨,참살이/옆살이,"3,7",./img/207.jpg,안암아줌마치킨 고대점입니다.
208,안암필,참살이/옆살이,4,./img/208.jpg,"분위기 좋은 스콘,베이글 샌드위치 맛집 '안암필' 입니다"
209,알래스카에서 온 연어가 맛있는 집,정문,"0, 10",./img/209.jpg,
210,앤드모어,법대후문,4,./img/210.jpg,"""서울특별시 성북구 종암동 위치, 디저트, 샌드위치, 셀러드, 음료, 맥주 등 메뉴 소개."""
211,야마토텐동,참살이/옆살이,10,./img/211.jpg,30일간 숙성한 텐동소스가 맛있는 텐동집
212,양자설렁탕,법대후문,0,./img/212.jpg,
213,언니네반점,개운사/정후,1,./img/213.jpg,중국 가정식 전문점 청결하고 엄마가 직접해준 집밥 같은 매일 먹어도 질리지 않은 맛집
214,언더 하이볼,참살이/옆살이,3,./img/214.jpg,가볍게 즐기는 퓨전 주점
215,역전우동0410,참살이/옆살이,10,./img/215.jpg,mz세대가 선택한 역전우동!!
216,역전할머니맥주 서울고대점,참살이/옆살이,3,./img/216.jpg,역전할머니맥주 고대점입니다.
217,연어사랑,정문,"0, 10",./img/217.jpg,
218,연한담,정문,0,./img/218.jpg,""" 복과 은혜의 상징 제비, 그들이 한가로이 모여 이야기를 나누고 쉬어가는 곳 연한 입니다."" "
219,영철스토리펌,안암오거리,12,./img/219.jpg,영철버거는 안암동 이공대 앞에 위치한 23년 전통의 수제햄버거 전문점입니다. 
220,옐로우피자 안암점,정문,6,./img/220.jpg,"""안녕하세요. 옐로우피자입니다. 저희는 2012년 론칭한 브랜드로 COOL한 당신에게 HOT한 피자로 보답해드립니다!"""
221,오거리술집,참살이/옆살이,3,./img/221.jpg,안암역 안암오거리의 오거리술집 입니다 쾌적한 분위기 170석 단체석 완비
